Iteration|X(i)|X(i+1)|f(Xi)|f’(Xi)|AbsError
0|3|1.6328432201344527|8.010007503399555|5.858879991940133|1.3671567798655473
1|1.6328432201344527|0.4844230543034498|2.6041698920673575|2.267610731289246|1.148420165831003
2|0.4844230543034498|-1.7407849339418346|1.119609474301718|0.5031482361271766|2.2252079882452844
3|-1.7407849339418346|-0.5944787023518279|2.8611610658052906|-2.495983173568428|1.1463062315900068
4|-0.5944787023518279|1.2848061886065063|1.181845505746582|-0.628880438209613|1.8792848909583342
5|1.2848061886065063|0.08445905942966325|1.9328344532521786|1.6102295796530544|1.200347129176843
6|0.08445905942966325|-11.78374670106404|1.0035687860406235|0.08455943605066688|11.868205760493703
7|-11.78374670106404|-6.033825128273781|139.56575206345883|-24.27263577366185|5.749921572790258
8|-6.033825128273781|-2.9986782848056586|37.37611619623754|-12.314434234598538|3.0351468434681226
9|-2.9986782848056586|-1.6319209011204416|8.002266344293327|-5.8549281970708265|1.366757383685217
10|-1.6319209011204416|-0.4834596766634067|2.6020793084892206|-2.26570932746939|1.148461224457035
11|-0.4834596766634067|1.7455439225499403|1.119125269911916|-0.5020742318706324|2.229003599213347
12|1.7455439225499403|0.5992150450061653|2.8730640026593695|2.506317391929835|1.146328877543775
13|0.5992150450061653|-1.2683301740727317|1.184837249688078|0.6344356418167258|1.867545219078897
14|-1.2683301740727317|-0.06322917237486858|1.9065367417566943|-1.5820555613766651|1.2051010016978632
15|-0.06322917237486858|15.773330385103888|1.0019996300071194|-0.0632712949028079|15.836559557478756
16|15.773330385103888|7.9345276099632915|247.80008710703027|31.611981346550174|7.838802775140596
17|7.9345276099632915|3.7067833523158056|62.876269481441284|14.872297293694054|4.227744257647486
18|3.7067833523158056|2.084500873602648|12.895756339052786|7.949143572876457|1.6222824787131578
19|2.084500873602648|0.9160190361556981|3.8537368794697264|3.298071699505291|1.1684818374469497
20|0.9160190361556981|-0.4778946310991061|1.448073483626352|1.0388544984125243|1.3939136672548043
21|-0.4778946310991061|1.7733590823829168|1.1163484501732068|-0.49587856023857313|2.251253713482023
22|1.7733590823829168|0.6267154902375083|2.9436220883267823|2.5671639457027506|1.1466435921454086
23|0.6267154902375083|-1.1766317775009907|1.2027305037473208|0.6669433698455728|1.803347267738499
24|-1.1766317775009907|0.060127857706182564|1.7684992762978755|-1.429945824518787|1.2367596352071732
25|0.060127857706182564|-16.591139715040775|1.00180822418815|0.06016408179205554|16.651267572746956
26|-16.591139715040775|-8.503055262240828|274.63121732132436|-33.95503829417262|8.088084452799947
27|-8.503055262240828|-4.079868331233982|71.69750011608326|-16.209466440018357|4.423186931006846
28|-4.079868331233982|-2.2893652364145667|16.05414596218325|-8.966276578149351|1.7905030948194152
29|-2.2893652364145667|-1.091532826202037|4.582885090527933|-3.8259818748056733|1.1978324102125297
30|-1.091532826202037|0.18386295844144707|1.6525696898006335|-1.2957308701334482|1.275395784643484
31|0.18386295844144707|-5.316224008198176|1.0169503575240428|0.18489714138926916|5.500086966639623
32|-5.316224008198176|-2.7995500119093037|28.83004120380065|-11.455612147744954|2.5166739962888727
33|-2.7995500119093037|-1.489554269189777|6.895408764580694|-5.263687918760677|1.3099957427195268
34|-1.489554269189777|-0.32938645253675114|2.299924638009964|-1.9824068595912516|1.1601678166530258
35|-0.32938645253675114|2.8161660885870017|1.054736416344398|-0.33531037951367104|3.145552541123753
36|2.8161660885870017|1.5016963778658317|6.9832770042577685|5.312619185744849|1.31446971072117
37|1.5016963778658317|0.34297612840057234|2.324136983577958|2.0057792074062135|1.1587202494652593
38|0.34297612840057234|-2.6867897281064783|1.0593906160936553|0.34966088677063745|3.0297658565070504
39|-2.6867897281064783|-1.4058585146529876|6.320491425500884|-4.934294175297942|1.2809312134534907
40|-1.4058585146529876|-0.23309640282323896|2.1406291506505153|-1.825288461366386|1.1727621118297487
41|-0.23309640282323896|4.134603970927449|1.0272897512830064|-0.23520151644487433|4.367700373750688
42|4.134603970927449|2.3174310438733468|16.548780159313434|9.106882406696087|1.8171729270541022
43|2.3174310438733468|1.1148024271944235|4.691314078311017|3.9008834591564523|1.2026286166789233
44|1.1148024271944235|-0.14902343067404256|1.6831393295560506|1.3317810512239299|1.263825857868466
45|-0.14902343067404256|6.610986988573338|1.0111245260096646|-0.14957440348475634|6.760010419247381
46|6.610986988573338|3.1496023531091337|44.65190136993574|12.900011432548437|3.4613846354642046
47|3.1496023531091337|1.7353445512512682|8.920027060182292|6.307214320093788|1.4142578018578655
48|1.7353445512512682|0.5890528333864269|2.8476140370026006|2.484196642637142|1.1462917178648413
49|0.5890528333864269|-1.3039432552264707|1.1784505133993133|0.6225319325740545|1.8929960886128976
50|-1.3039432552264707|-0.10879451786163008|1.963965215769283|-1.6432810029148257|1.1951487373648406
